wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,collectionArtistId,collectionArtistName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,radioStationUrl,isStreamable,collectionArtistViewUrl
track,song,3249567,696403730,696404445,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),"Jai Ho (feat. Sukhwinder Singh, Tanvi Shah & Mahalakshmi Iyer)",Slumdog Millionaire (Music From the Motion Picture),"Jai Ho (feat. Sukhwinder Singh, Tanvi Shah & Mahalakshmi Iyer)",36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/jai-ho-feat.-sukhwinder-singh/id696403730?i=696404445&uo=4,https://itunes.apple.com/us/album/jai-ho-feat.-sukhwinder-singh/id696403730?i=696404445&uo=4,http://a1385.phobos.apple.com/us/r1000/043/Music4/v4/64/73/83/647383f9-6155-7e64-ec1c-c4f6813ede48/mzaf_8768794404390374879.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,1.29,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,13,319347,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404445,TRUE,
track,song,3249567,305113834,305113868,A. R. Rahman & The Pussycat Dolls,Jai Ho! (You Are My Destiny) [feat. Nicole Scherzinger] - Single,Jai Ho! (You Are My Destiny) [feat. Nicole Scherzinger],Jai Ho! (You Are My Destiny) [feat. Nicole Scherzinger] - Single,Jai Ho! (You Are My Destiny) [feat. Nicole Scherzinger],,,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/jai-ho!-you-are-my-destiny/id305113834?i=305113868&uo=4,https://itunes.apple.com/us/album/jai-ho!-you-are-my-destiny/id305113834?i=305113868&uo=4,http://a746.phobos.apple.com/us/r1000/120/Music/72/b4/62/mzm.zmxgjxah.aac.p.m4a,http://is4.mzstatic.com/image/thumb/Music/v4/13/cc/08/13cc08bd-5b6d-d1ac-48a3-d7b6b30b6507/source/30x30bb.jpg,http://is4.mzstatic.com/image/thumb/Music/v4/13/cc/08/13cc08bd-5b6d-d1ac-48a3-d7b6b30b6507/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music/v4/13/cc/08/13cc08bd-5b6d-d1ac-48a3-d7b6b30b6507/source/100x100bb.jpg,1.29,1.29,2009-02-23T08:00:00Z,notExplicit,notExplicit,1,1,1,1,222400,USA,USD,Pop,https://itunes.apple.com/station/idra.305113868,TRUE,
track,song,3249567,696403730,696404439,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Latika's Theme (feat. Suzanne),Slumdog Millionaire (Music From the Motion Picture),Latika's Theme (feat. Suzanne),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/latikas-theme-feat.-suzanne/id696403730?i=696404439&uo=4,https://itunes.apple.com/us/album/latikas-theme-feat.-suzanne/id696403730?i=696404439&uo=4,http://a1681.phobos.apple.com/us/r1000/047/Music6/v4/5c/c2/aa/5cc2aa76-599d-087f-0e6e-2bfc88c259c4/mzaf_5388138465187441712.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,1.29,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,8,189373,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404439,TRUE,
track,song,3249567,696403730,696404436,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Ringa Ringa (feat. Alka Yagnik & Ila Arun),Slumdog Millionaire (Music From the Motion Picture),Ringa Ringa (feat. Alka Yagnik & Ila Arun),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/ringa-ringa-feat.-alka-yagnik/id696403730?i=696404436&uo=4,https://itunes.apple.com/us/album/ringa-ringa-feat.-alka-yagnik/id696403730?i=696404436&uo=4,http://a1146.phobos.apple.com/us/r1000/007/Music4/v4/88/7b/34/887b345a-fc42-23e9-2fcf-61c1a714143e/mzaf_6393901895855020802.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,1.29,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,6,255467,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404436,TRUE,
track,song,3249567,696403730,696404438,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Liquid Dance (feat. Palakkad Sriram & Madhumitha),Slumdog Millionaire (Music From the Motion Picture),Liquid Dance (feat. Palakkad Sriram & Madhumitha),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/liquid-dance-feat.-palakkad/id696403730?i=696404438&uo=4,https://itunes.apple.com/us/album/liquid-dance-feat.-palakkad/id696403730?i=696404438&uo=4,http://a1414.phobos.apple.com/us/r1000/052/Music/v4/a5/a2/71/a5a27147-25ee-7685-df59-cb88563a5b37/mzaf_918007240697497184.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,0.99,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,7,178947,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404438,TRUE,
track,song,3249567,696403730,696404432,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Mausam & Escape,Slumdog Millionaire (Music From the Motion Picture),Mausam & Escape,36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/mausam-escape/id696403730?i=696404432&uo=4,https://itunes.apple.com/us/album/mausam-escape/id696403730?i=696404432&uo=4,http://a427.phobos.apple.com/us/r1000/041/Music6/v4/a8/d9/64/a8d96495-b0c9-86d9-990c-74c52250ec8b/mzaf_5397843894077620439.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,1.29,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,3,232840,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404432,TRUE,
track,song,3249567,696403730,696404443,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Gangsta Blues (feat. Blaaze & Tanvi Shah),Slumdog Millionaire (Music From the Motion Picture),Gangsta Blues (feat. Blaaze & Tanvi Shah),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/gangsta-blues-feat.-blaaze/id696403730?i=696404443&uo=4,https://itunes.apple.com/us/album/gangsta-blues-feat.-blaaze/id696403730?i=696404443&uo=4,http://a1270.phobos.apple.com/us/r1000/041/Music6/v4/aa/3a/63/aa3a63aa-0a06-5208-ca82-4cbf60477f76/mzaf_3996102345309054402.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,0.99,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,11,221987,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404443,TRUE,
track,song,3249567,696403730,696404442,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Millionaire (feat. Madhumitha),Slumdog Millionaire (Music From the Motion Picture),Millionaire (feat. Madhumitha),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/millionaire-feat.-madhumitha/id696403730?i=696404442&uo=4,https://itunes.apple.com/us/album/millionaire-feat.-madhumitha/id696403730?i=696404442&uo=4,http://a688.phobos.apple.com/us/r1000/049/Music6/v4/8f/9d/b3/8f9db372-582d-7772-53bd-cdb2a1e27d95/mzaf_5212463142751461982.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,0.99,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,10,164427,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404442,TRUE,
track,song,3249567,696403730,696404431,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Riots,Slumdog Millionaire (Music From the Motion Picture),Riots,36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/riots/id696403730?i=696404431&uo=4,https://itunes.apple.com/us/album/riots/id696403730?i=696404431&uo=4,http://a1487.phobos.apple.com/us/r1000/022/Music4/v4/60/d4/02/60d402d9-f2ea-cf1d-4ac8-f14b2173f04d/mzaf_658840487523695301.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,0.99,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,2,119507,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404431,TRUE,
track,song,3249567,696403730,696404444,A. R. Rahman,Slumdog Millionaire (Music From the Motion Picture),Dreams On Fire (feat. Suzanne),Slumdog Millionaire (Music From the Motion Picture),Dreams On Fire (feat. Suzanne),36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/dreams-on-fire-feat.-suzanne/id696403730?i=696404444&uo=4,https://itunes.apple.com/us/album/dreams-on-fire-feat.-suzanne/id696403730?i=696404444&uo=4,http://a1420.phobos.apple.com/us/r1000/048/Music4/v4/ca/06/0c/ca060cef-c838-6df1-777b-a05afd6e11cd/mzaf_2451368599635818397.plus.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music4/v4/fd/d1/3e/fdd13e60-6588-39db-b94d-d92749bf75fb/source/100x100bb.jpg,-1,0.99,2013-09-10T07:00:00Z,notExplicit,notExplicit,1,1,13,12,248560,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.696404444,TRUE,
track,music-video,3249567,,308837219,"A. R. Rahman, The Pussycat Dolls & Nicole Scherzinger",,Jai Ho (You Are My Destiny),,Jai Ho (You Are My Destiny),,,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,,https://itunes.apple.com/us/music-video/jai-ho-you-are-my-destiny/id308837219?uo=4,http://a1875.v.phobos.apple.com/us/r1000/051/Video/cd/25/0f/mzm.ryaeijfb..640x336.h264lc.u.p.m4v,http://is2.mzstatic.com/image/thumb/Video/v4/26/be/b0/26beb022-138f-c67f-dffa-2746a478688e/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Video/v4/26/be/b0/26beb022-138f-c67f-dffa-2746a478688e/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Video/v4/26/be/b0/26beb022-138f-c67f-dffa-2746a478688e/source/100x100bb.jpg,1.99,1.99,2009-03-13T07:00:00Z,notExplicit,notExplicit,,,,,220387,USA,USD,Pop,https://itunes.apple.com/station/idra.308837219,,
track,song,3249567,206578557,206578661,A. R. Rahman,Dil Se (Original Motion Picture Soundtrack),Dil Se Re,Dil Se (Original Motion Picture Soundtrack),Dil Se Re,,,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/dil-se-re/id206578557?i=206578661&uo=4,https://itunes.apple.com/us/album/dil-se-re/id206578557?i=206578661&uo=4,http://a214.phobos.apple.com/us/r1000/115/Music/4f/e9/ef/mzm.gogrjelu.aac.p.m4a,http://is2.mzstatic.com/image/thumb/Music/v4/84/07/d9/8407d91c-961c-c293-44d8-b02ca0bb159e/source/30x30bb.jpg,http://is2.mzstatic.com/image/thumb/Music/v4/84/07/d9/8407d91c-961c-c293-44d8-b02ca0bb159e/source/60x60bb.jpg,http://is2.mzstatic.com/image/thumb/Music/v4/84/07/d9/8407d91c-961c-c293-44d8-b02ca0bb159e/source/100x100bb.jpg,5.94,0.99,2006-11-21T08:00:00Z,notExplicit,notExplicit,1,1,6,3,405293,USA,USD,Bollywood,https://itunes.apple.com/station/idra.206578661,TRUE,
track,song,20646,399794003,399794110,Dido & A. R. Rahman,127 Hours (Music from the Motion Picture),If I Rise,127 Hours (Music from the Motion Picture),If I Rise,36270,Various Artists,https://itunes.apple.com/us/artist/dido/id20646?uo=4,https://itunes.apple.com/us/album/if-i-rise/id399794003?i=399794110&uo=4,https://itunes.apple.com/us/album/if-i-rise/id399794003?i=399794110&uo=4,http://a1145.phobos.apple.com/us/r1000/092/Music/ae/78/3c/mzm.wklqjbun.aac.p.m4a,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/30x30bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/100x100bb.jpg,11.99,1.29,2010-11-02T07:00:00Z,notExplicit,notExplicit,1,1,14,14,278427,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.399794110,TRUE,
track,song,3249567,399794003,399794098,A. R. Rahman,127 Hours (Music from the Motion Picture),Liberation,127 Hours (Music from the Motion Picture),Liberation,36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/liberation/id399794003?i=399794098&uo=4,https://itunes.apple.com/us/album/liberation/id399794003?i=399794098&uo=4,http://a1390.phobos.apple.com/us/r1000/073/Music/1c/8b/2c/mzm.qvdeghze.aac.p.m4a,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/30x30bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/100x100bb.jpg,11.99,1.29,2010-11-02T07:00:00Z,notExplicit,notExplicit,1,1,14,12,191507,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.399794098,TRUE,
track,song,3249567,399794003,399794097,A. R. Rahman,127 Hours (Music from the Motion Picture),R.I.P.,127 Hours (Music from the Motion Picture),R.I.P.,36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/r.i.p./id399794003?i=399794097&uo=4,https://itunes.apple.com/us/album/r.i.p./id399794003?i=399794097&uo=4,http://a1573.phobos.apple.com/us/r1000/118/Music/fc/09/44/mzm.kqojsgil.aac.p.m4a,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/30x30bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/100x100bb.jpg,11.99,1.29,2010-11-02T07:00:00Z,notExplicit,notExplicit,1,1,14,11,310960,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.399794097,TRUE,
track,song,3249567,399794003,399794018,A. R. Rahman,127 Hours (Music from the Motion Picture),The Canyon,127 Hours (Music from the Motion Picture),The Canyon,36270,Various Artists,https://itunes.apple.com/us/artist/a.-r.-rahman/id3249567?uo=4,https://itunes.apple.com/us/album/the-canyon/id399794003?i=399794018&uo=4,https://itunes.apple.com/us/album/the-canyon/id399794003?i=399794018&uo=4,http://a1076.phobos.apple.com/us/r1000/102/Music/95/89/4c/mzm.glglrcov.aac.p.m4a,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/30x30bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music/v4/8c/2b/ef/8c2bef25-fd7c-12d8-079d-47130fe934ea/source/100x100bb.jpg,11.99,1.29,2010-11-02T07:00:00Z,notExplicit,notExplicit,1,1,14,2,181653,USA,USD,Soundtrack,https://itunes.apple.com/station/idra.399794018,TRUE,
